genre,songName,singer,musicDirector,lyricist,movie,year
playful_songs,Jalte Hain Jiske Liye,Talat Mahmood,Sachin Dev Burman,Majrooh Sultanpuri,Sujata,1959
playful_songs,Yeh Sham Mastani,Kishore Kumar,R D Burman,Anand Bakshi,Kati Patang,1971
playful_songs,Ajib Dastan Hai Yeh Kaha Shuru Kaha Khatam,Lata Mangeshkar,Shankar Jaikishan,Shailendra,Dil Apna Aur Preet Parai,1960
playful_songs,Banke Titli Dil Uda (Titli),Gopi Sunder*Chinmayi,Vishal Shekhar,Amitabh Bhattacharya,Chennai Express,2013
playful_songs,Badtameez Dil,Benny Dayal,Pritam Chakraborty,Amitabh Bhattacharya,Yeh Jawaani Hai Deewani,2013
playful_songs,Bhula Dena Mujhe Alvida Tujhe,Mustafa Zahid,Jeet Ganguly,Sanjay Masoom,Aashiqui 2,2013
playful_songs,Hangover,Salman Khan*Meet Bros Anjjan*Shreya Ghoshal,Meet Bros Anjjan,Kumaar,Kick,2014
playful_songs,Sunn Raha Hai (Female),Shreya Ghoshal,Ankur Tewari,Sandeep Nath,Aashiqui 2,2013
playful_songs,Aasan Nahi Yaha,Arijit Singh,Jeet Ganguly,Irshad Kamil,Aashiqui 2,2013
playful_songs,Galliyan (Unplugged),Ankit Tiwari*Shraddha Kapoor,Ankit Tiwari,Manoj Muntashir,Ek Villain,2014
playful_songs,Gandi Baat Abcd Padh Li Bahut,Mika Singh*Kalpana Patowary,Pritam Chakraborty,Anupam Amod,R... Rajkumar,2013
playful_songs,Jumme Ki Raat,Palak Muchhal*Mika Singh,Himesh Reshammiya,Kumaar,Kick,2014
playful_songs,Milne Hai Mujhse Aayi,Arijit Singh,Jeet Ganguly,Irshad Kamil,Aashiqui 2,2013
playful_songs,Tune Maari Entriyaan Re Dil Me Baji Ghantiya,Vishal Dadlani*Neeti Mohan*K. K.*Bappi Lahiri,Sohail Sen,Irshad Kamil,Gunday,2014
playful_songs,God Allah Aur Bhagwan Ne Banaya Ek Insaan,Shreya Ghoshal*Sonu Nigam,Rajesh Roshan,Sameer,Krrish 3,2013
playful_songs,Ek Pardesi Mera Dil Le Gaya Jaate Jaate Mitha Mitha Gham De Gaya,Mohammed Rafi*Asha Bhosle,O P Nayyar,Qamar Jalalabadi,Phagun,1958
playful_songs,Chingari Koi Bhadke,Kishore Kumar,R D Burman,Anand Bakshi,Amar Prem,1972
playful_songs,Mera Joota Hai Japani Ye Panloon Englishtani,Mukesh,Shankar Jaikishan,Shailendra,Shree 420,1955
